Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Price,Quantity,Tax5%,Total,Gross,Margin%,Profit
11,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,767.7828,16123.4388,15355.656,4.761904762,731.2217143
12,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,182.2848,3827.9808,3645.696,4.761904762,173.6045714
13,CA-2017-114412,15-04-2017,20-04-2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,2.3328,48.9888,46.656,4.761904762,2.221714286
14,CA-2016-161389,05-12-2016,10-12-2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,61.1964,1285.1244,1223.928,4.761904762,58.28228572
15,US-2015-118983,22-11-2015,26-11-2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,17.2025,361.2525,344.05,4.761904762,16.38333333
16,US-2015-118983,22-11-2015,26-11-2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.3816,8.0136,7.632,4.761904762,0.363428571
17,CA-2014-105893,11-11-2014,18-11-2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,199.764,4195.044,3995.28,4.761904762,190.2514286
18,CA-2014-167164,13-05-2014,15-05-2014,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,5.55,116.55,111,4.761904762,5.285714286
19,CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.856,17.976,17.12,4.761904762,0.815238095
20,CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,32.022,672.462,640.44,4.761904762,30.49714286
21,CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,4.544,95.424,90.88,4.761904762,4.327619048
22,CA-2016-137330,09-12-2016,13-12-2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,6.811,143.031,136.22,4.761904762,6.486666667
23,CA-2016-137330,09-12-2016,13-12-2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,21.119,443.499,422.38,4.761904762,20.11333333
24,US-2017-156909,16-07-2017,18-07-2017,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,7.1372,149.8812,142.744,4.761904762,6.797333333
25,CA-2015-106320,25-09-2015,30-09-2015,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,156.6945,3290.5845,3133.89,4.761904762,149.2328571
26,CA-2016-121755,16-01-2016,20-01-2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,1.1648,24.4608,23.296,4.761904762,1.109333333
27,CA-2016-121755,16-01-2016,20-01-2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,13.5855,285.2955,271.71,4.761904762,12.93857143
28,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,1079.2005,22663.2105,21584.01,4.761904762,1027.81
29,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.9618,20.1978,19.236,4.761904762,0.916
30,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,18.63,391.23,372.6,4.761904762,17.74285714
31,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.3264,6.8544,6.528,4.761904762,0.310857143
32,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,25.8912,543.7152,517.824,4.761904762,24.65828571
33,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,2.0574,43.2054,41.148,4.761904762,1.959428571
34,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,1.576,33.096,31.52,4.761904762,1.500952381
35,CA-2017-107727,19-10-2017,23-10-2017,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,4.4208,92.8368,88.416,4.761904762,4.210285714
36,CA-2016-117590,08-12-2016,10-12-2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,384.1404,8066.9484,7682.808,4.761904762,365.848
37,CA-2016-117590,08-12-2016,10-12-2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,47.73,1002.33,954.6,4.761904762,45.45714286
38,CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,50.9976,1070.9496,1019.952,4.761904762,48.56914286
39,CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,79.85988,1677.05748,1597.1976,4.761904762,76.05702857
40,CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,31.8087,667.9827,636.174,4.761904762,30.294
41,CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,74.2336,1558.9056,1484.672,4.761904762,70.69866667
42,CA-2017-120999,10-09-2017,15-09-2017,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,29.4336,618.1056,588.672,4.761904762,28.032
43,CA-2016-101343,17-07-2016,22-07-2016,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,7.788,163.548,155.76,4.761904762,7.417142857
44,CA-2017-139619,19-09-2017,23-09-2017,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,9.5616,200.7936,191.232,4.761904762,9.106285714
45,CA-2016-118255,11-03-2016,13-03-2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,4.598,96.558,91.96,4.761904762,4.379047619
46,CA-2016-118255,11-03-2016,13-03-2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,1.746,36.666,34.92,4.761904762,1.662857143
47,CA-2014-146703,20-10-2014,25-10-2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,42.392,890.232,847.84,4.761904762,40.37333333
48,CA-2016-169194,20-06-2016,25-06-2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,6.75,141.75,135,4.761904762,6.428571429
49,CA-2016-169194,20-06-2016,25-06-2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,2.18,45.78,43.6,4.761904762,2.076190476
50,CA-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,11.466,240.786,229.32,4.761904762,10.92
51,CA-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,22.554,473.634,451.08,4.761904762,21.48
52,CA-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.616,12.936,12.32,4.761904762,0.586666667
53,CA-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,4.4995,94.4895,89.99,4.761904762,4.285238095
54,CA-2016-105816,11-12-2016,17-12-2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,5.341,112.161,106.82,4.761904762,5.086666667
55,CA-2016-105816,11-12-2016,17-12-2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,257.4875,5407.2375,5149.75,4.761904762,245.2261905
56,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,62.568,1313.928,1251.36,4.761904762,59.58857143
57,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,8.1,170.1,162,4.761904762,7.714285714
58,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,79.8525,1676.9025,1597.05,4.761904762,76.05
59,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,1.456,30.576,29.12,4.761904762,1.386666667
60,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,3,63,60,4.761904762,2.857142857
61,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,9.696,203.616,193.92,4.761904762,9.234285714
62,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.084,1.764,1.68,4.761904762,0.08
63,CA-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,1.398,29.358,27.96,4.761904762,1.331428571
64,CA-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,7.7472,162.6912,154.944,4.761904762,7.378285714
65,CA-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,22.0095,462.1995,440.19,4.761904762,20.96142857
66,CA-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,15.952,334.992,319.04,4.761904762,15.19238095
67,US-2015-164175,30-04-2015,05-05-2015,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,53.27875,1118.85375,1065.575,4.761904762,50.74166667
68,CA-2014-106376,05-12-2014,10-12-2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,445.2096,9349.4016,8904.192,4.761904762,424.0091429
69,CA-2014-106376,05-12-2014,10-12-2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,33.5936,705.4656,671.872,4.761904762,31.99390476
70,CA-2016-119823,04-06-2016,06-06-2016,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,7.588,159.348,151.76,4.761904762,7.226666667
71,CA-2016-106075,18-09-2016,23-09-2016,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2308,4.8468,4.616,4.761904762,0.219809524
72,CA-2017-114440,14-09-2017,17-09-2017,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,2.8575,60.0075,57.15,4.761904762,2.721428571
73,US-2015-134026,26-04-2015,02-05-2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,332.7744,6988.2624,6655.488,4.761904762,316.928
74,US-2015-134026,26-04-2015,02-05-2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,9.704,203.784,194.08,4.761904762,9.241904762
75,US-2015-134026,26-04-2015,02-05-2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,3.6392,76.4232,72.784,4.761904762,3.465904762
76,US-2017-118038,09-12-2017,11-12-2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.1872,3.9312,3.744,4.761904762,0.178285714
77,US-2017-118038,09-12-2017,11-12-2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,1.4562,30.5802,29.124,4.761904762,1.386857143
78,US-2017-118038,09-12-2017,11-12-2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,4.086,85.806,81.72,4.761904762,3.891428572
79,US-2014-147606,26-11-2014,01-12-2014,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,4.825,101.325,96.5,4.761904762,4.595238095
80,CA-2016-127208,12-06-2016,15-06-2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,10.408,218.568,208.16,4.761904762,9.912380953
81,CA-2016-127208,12-06-2016,15-06-2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,2.511,52.731,50.22,4.761904762,2.391428571
82,CA-2014-139451,12-10-2014,16-10-2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,3.725,78.225,74.5,4.761904762,3.547619048
83,CA-2014-139451,12-10-2014,16-10-2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,1.0695,22.4595,21.39,4.761904762,1.018571429
84,CA-2015-149734,03-09-2015,08-09-2015,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,70.3444,1477.2324,1406.888,4.761904762,66.99466667
85,US-2017-119662,13-11-2017,16-11-2017,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,34.5564,725.6844,691.128,4.761904762,32.91085714
86,CA-2017-140088,28-05-2017,30-05-2017,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,30.196,634.116,603.92,4.761904762,28.75809524
87,CA-2017-155558,26-10-2017,02-11-2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.9995,20.9895,19.99,4.761904762,0.951904762
88,CA-2017-155558,26-10-2017,02-11-2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0.616,12.936,12.32,4.761904762,0.586666667
89,CA-2016-159695,05-04-2016,10-04-2016,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,55.4288,1164.0048,1108.576,4.761904762,52.78933333
90,CA-2016-109806,17-09-2016,22-09-2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,3.015,63.315,60.3,4.761904762,2.871428571
91,CA-2016-109806,17-09-2016,22-09-2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,7.3584,154.5264,147.168,4.761904762,7.008
92,CA-2016-109806,17-09-2016,22-09-2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0.324,6.804,6.48,4.761904762,0.308571429
93,CA-2015-149587,31-01-2015,05-02-2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,1.296,27.216,25.92,4.761904762,1.234285714
94,CA-2015-149587,31-01-2015,05-02-2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,8.001,168.021,160.02,4.761904762,7.62
95,CA-2015-149587,31-01-2015,05-02-2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,3.296,69.216,65.92,4.761904762,3.139047619
